#      Train        Test
     10.5662      7.91918 
     6.45781      5.84006 
       4.879      4.80893 
      3.9854      4.31024 
     3.35416      3.60612 
     2.81931      3.25612 
     2.65542      4.23609 
     2.45597      2.87398 
     2.27442      2.71635 
     2.23157      2.99654 
     2.04259      2.61054 
      2.0342      2.31692 
     1.93608      2.34916 
     1.92457      2.31841 
     1.83241      2.21984 
     1.87416      2.36568 
     1.76106       2.2932 
     1.72465      2.37857 
     1.61048      2.33002 
     1.74563      2.12689 
     1.69909      2.61383 
     1.64543      2.50034 
     1.59415      2.13314 
     1.54872      1.90784 
     1.54372      2.13467 
     1.55315      2.08232 
     1.62582      2.46328 
     1.55658      1.92041 
     1.50535      2.32138 
     1.48745      1.66417 
     1.50507       2.0085 
     1.50209      1.83719 
     1.55145      1.98335 
     1.52235      1.97155 
     1.57644      2.44839 
     1.52143      1.92494 
     1.48613      2.22213 
     1.51893      2.05035 
     1.51439      2.45004 
     1.48364      2.31303 
     1.60487      2.18545 
     1.61147      1.84086 
     1.40611       1.7353 
     1.50541      1.96295 
     1.45215      2.04947 
      1.4364      2.51972 
     1.43857      1.74074 
     1.39817      2.12582 
     1.42374      2.29418 
     1.38138       1.8318 
     1.38503      2.14167 
     1.36817      2.35994 
     1.33896      1.63343 
     1.35765       1.9751 
     1.33426      2.17409 
     1.30434       2.0116 
     1.52128      1.96658 
     1.40354      2.78921 
     1.42832      1.86969 
     1.37961      1.94318 
     1.29773      2.08082 
     1.36192      2.09659 
     1.35978      1.93311 
     1.32031      1.86728 
     1.30012      1.65831 
     1.29635      2.03787 
     1.27398      2.07927 
     1.36204      2.15203 
     1.42428      1.73692 
     1.42613      2.15143 
     1.51079      2.53755 
     1.48142      2.20552 
     1.61389      2.21415 
     1.45511       1.9181 
     1.49634      2.23582 
     1.51057      2.55185 
      1.4769      2.47897 
     1.45373      2.19397 
     1.47506      2.63756 
     1.52534      2.19877 
     1.53272      2.24241 
      1.4413      1.83656 
     1.41412      1.80076 
     1.48934       2.6892 
     1.44874      2.93673 
      1.5013      2.23351 
     1.46154      1.99695 
      1.4383      2.00879 
     1.41021      2.16704 
     1.50261      2.31495 
     1.42909      1.98256 
     1.49642      1.91708 
     1.42109      1.82758 
     1.44719      1.92564 
     1.37132      2.18756 
     1.44106      2.93747 
      1.5238      2.32911 
     1.48379      2.58359 
     1.53165      2.30759 
     1.51062      1.61004 
     1.51883      1.94476 
     1.47879      1.88617 
     1.45208      2.24267 
     1.62553      1.98995 
     1.52911      2.31224 
     1.50174      2.77191 
     1.43879      2.07318 
     1.47853      2.21822 
     1.53071      2.75178 
     1.42275      2.32468 
     1.41925      2.13624 
     1.42234      2.01488 
     1.40296      2.06584 
     1.43868      2.42959 
     1.42216      2.04515 
     1.40544      2.19383 
     1.51378      1.91984 
     1.46789      1.98053 
     1.41245      1.73362 
     1.32624      1.76541 
     1.30292      1.79085 
     1.37947      2.01711 
     1.37888      1.82504 
     1.34203      2.37581 
     1.35901      2.15283 
     1.37632      1.99632 
     1.34258      2.12361 
      1.4298      1.77983 
     1.35736      2.36688 
     1.32389      2.22472 
     1.41112      2.12579 
     1.34233      2.10113 
     1.42152      2.13438 
     1.28995      2.77616 
     1.29407      1.77719 
     1.37293       1.9215 
      1.4111      2.14104 
     1.40629      2.07027 
     1.37134       1.9752 
      1.3622      2.24781 
     1.36755      2.22835 
     1.41604        1.631 
     1.31951      1.88199 
     1.38826      1.94879 
     1.40534      2.21871 
     1.34238      2.12387 
      1.4057      2.52231 
     1.49653      2.23682 
     1.38656      2.00154 
     1.32511       2.2754 
     1.35487      2.18893 
     1.39472       2.3891 
     1.39882      2.08101 
     1.43302      2.24678 
     1.43619      1.92918 
     1.40208      1.96658 
     1.45072      1.82742 
     1.42769      1.74532 
     1.42658      2.50976 
     1.41906      2.23148 
     1.31736      2.87998 
     1.34831      2.14852 
      1.3632      2.09087 
      1.3785      2.10056 
     1.38121      2.19977 
     1.25884      2.16357 
      1.3251      1.67988 
     1.38132      2.32619 
     1.44491      2.70896 
     1.42493      2.56473 
     1.40189      2.03661 
     1.41695      2.62392 
     1.47864      2.24273 
     1.59285      2.00139 
     1.38242      2.49842 
     1.47712      2.44679 
     1.36435      2.10653 
     1.35003       2.3246 
     1.50924      2.66774 
     1.56423      2.35648 
     1.37984      1.97081 
     1.50164      2.25888 
     1.38589       2.0648 
     1.44539       2.0229 
     1.49602      1.79124 
     1.54791      1.96502 
     1.36288      2.13811 
      1.4833      1.97159 
     1.29472      1.88969 
     1.22124      1.92861 
     1.40885      2.56586 
     1.38527      2.08713 
     1.35055      2.12975 
     1.38539      2.29488 
     1.50366      1.91518 
     1.37916      2.20553 
     1.45335      2.06735 
     1.38624      2.48369 
     1.38822      2.42974 
     1.48794      2.21522 
     1.46831      2.46778 
     1.46405      2.49217 
     1.57134      2.14274 
     1.47341      2.32947 
     1.54718      2.30207 
     1.54542      3.23677 
     1.59743      2.34998 
     1.57294      2.01675 
     1.44741      2.47328 
     1.52995      2.05114 
     1.40359      2.63882 
     1.50594      1.67686 
     1.45902      2.22481 
     1.52043      1.71656 
     1.61212      3.05455 
     1.57319      2.33626 
     1.78998      2.22364 
     1.43832      2.28792 
     1.25961      1.84593 
        1.36      1.74418 
     1.44564      2.85764 
     1.62569      2.61289 
     1.43799      2.42907 
     1.59869       2.1841 
      1.5791      2.19013 
      1.6655      2.18705 
     1.57219      2.50293 
     1.46636      2.25768 
     1.51658       3.1152 
     1.68249       2.2388 
     1.60612      2.60459 
     1.70871      2.39726 
     1.61823      2.97138 
     1.63904      2.85998 
     1.60924      2.42267 
     1.64266      2.15641 
     1.55031      2.19196 
     1.57981      2.26604 
      1.5472      1.82286 
     1.56552      2.24655 
     1.60438      2.44122 
     1.61349      1.98187 
     1.51346      1.86555 
     1.60336      1.89922 
     1.62709      2.61531 
     1.46928      2.55409 
     1.62261      2.16421 
     1.55534      1.77446 
      1.6429       2.2608 
     1.44597      1.97986 
     1.53534      2.53201 
       1.557      1.98275 
     1.66655      2.34555 
      1.5063      2.01201 
     1.65789      1.98926 
     1.40593      2.22169 
     1.49021      2.26876 
      1.4801      2.82424 
     1.63691      2.33695 
     1.76125      1.70905 
     1.69716      2.02347 
     1.62133      1.86105 
     1.43008       2.7677 
     1.60805      1.86788 
     1.49508      2.19448 
     1.44831      2.18113 
     1.73192       2.7846 
     1.60799      2.25781 
     1.52312      1.99812 
     1.42588      2.19518 
     1.42669      2.48823 
     1.57019      1.80539 
     1.46266      2.65616 
     1.60913      2.79449 
     1.58209      2.02679 
     1.50089      1.96633 
     1.57426      1.82756 
     1.40077      2.32368 
     1.52259      2.19248 
     1.46607      3.12662 
     1.61034      2.30291 
     1.60246      2.53895 
     1.58191      2.13402 
     1.45208      2.43749 
     1.58331      2.14669 
     1.64129      2.73239 
     1.75828       2.9238 
     1.79906      2.60744 
     1.50841      2.90568 
     1.52914      2.08364 
     1.62237      3.57155 
     1.51922      3.35475 
     1.61415      2.23311 
     1.51441      2.36143 
     1.58213      2.23196 
     1.60716      2.16586 
     1.68692      2.18824 
      1.6145      2.55115 
     1.82055       2.0047 
      1.6118      2.40866 
     1.57837      1.76771 
     1.69547      2.78478 
     1.71422      3.11665 
     1.64422      2.07801 
     1.55944      2.80387 
     1.69095      2.12331 
     1.60387      2.14102 
     1.55518      2.72302 
     1.64822      2.13953 
     1.67324      2.63498 
      1.6482      2.34972 
     1.47267      1.92344 
     1.54688      2.55331 
     1.56767      2.12968 
     1.62001      2.14929 
      1.5805      2.01061 
     1.52686        2.079 
     1.48638       2.3167 
      1.6466      2.69531 
     1.51172      1.78367 
     1.59967      2.37673 
     1.44713       2.1445 
      1.5878      3.31907 
     1.54913      2.39586 
     1.55208      2.78188 
     1.66584       2.5604 
     1.56958      1.87687 
     1.66955      2.25147 
     1.59125      2.14018 
