#      Train        Test
    0.352152     0.411392 
    0.441073     0.398734 
    0.469301     0.436709 
    0.510939     0.468354 
    0.526464     0.512658 
    0.529993     0.481013 
    0.557516      0.56962 
    0.549047     0.525316 
    0.582922     0.563291 
     0.63585      0.56962 
    0.613267     0.531646 
     0.61115     0.594937 
    0.636556     0.537975 
    0.608327     0.601266 
    0.628088     0.582278 
    0.642908     0.613924 
    0.664785     0.651899 
    0.666196     0.664557 
    0.654905     0.620253 
    0.680311     0.664557 
    0.688073     0.651899 
    0.682428     0.626582 
    0.725476     0.670886 
    0.707128     0.702532 
    0.714891     0.727848 
    0.709951     0.708861 
    0.735356     0.658228 
    0.733239     0.664557 
    0.727594     0.658228 
    0.716302     0.702532 
    0.746648     0.746835 
    0.748059     0.721519 
    0.748765     0.721519 
    0.750176     0.746835 
    0.756528     0.696203 
    0.745236     0.740506 
    0.753705     0.689873 
    0.766408     0.702532 
    0.771348      0.71519 
    0.763585     0.753165 
    0.760762     0.740506 
    0.787579     0.765823 
    0.781228     0.753165 
    0.793931     0.753165 
    0.784051     0.740506 
    0.796048     0.721519 
    0.788991     0.740506 
    0.790402     0.778481 
    0.783345     0.759494 
    0.779111     0.746835 
    0.805928     0.708861 
    0.813691     0.765823 
    0.808045      0.78481 
    0.805928     0.734177 
    0.817925     0.803797 
    0.798165      0.71519 
    0.803811     0.746835 
    0.811574     0.772152 
    0.833451     0.791139 
    0.829922     0.778481 
    0.815808     0.740506 
    0.828511     0.778481 
    0.820042     0.772152 
    0.824277     0.765823 
    0.822865     0.816456 
    0.822865     0.797468 
      0.8271     0.765823 
    0.815808     0.778481 
    0.823571     0.778481 
    0.839097     0.759494 
    0.831334     0.772152 
     0.84192     0.772152 
    0.824982     0.772152 
    0.853917     0.797468 
    0.855328     0.753165 
    0.842625     0.753165 
    0.847565     0.835443 
    0.842625     0.791139 
    0.848271     0.765823 
    0.834862     0.829114 
    0.848977     0.765823 
    0.848977     0.759494 
    0.839097     0.734177 
    0.847565     0.753165 
    0.856034     0.816456 
     0.84686     0.803797 
    0.863797     0.803797 
      0.8518      0.78481 
    0.844742     0.753165 
    0.847565     0.772152 
    0.870148      0.78481 
    0.849682     0.778481 
    0.853211     0.816456 
    0.860974     0.803797 
    0.863797     0.778481 
    0.858857     0.803797 
    0.863797     0.778481 
    0.853211     0.810127 
    0.868737      0.78481 
    0.872265     0.772152 
    0.855328     0.791139 
     0.87156      0.78481 
    0.875794     0.835443 
      0.8765     0.841772 
    0.875794     0.829114 
     0.86662     0.829114 
     0.86168     0.778481 
    0.870148     0.803797 
    0.879323      0.78481 
    0.889203     0.797468 
    0.889203     0.816456 
    0.868737     0.822785 
    0.867325     0.848101 
    0.884968     0.816456 
    0.874382     0.791139 
     0.88144     0.778481 
     0.86168     0.810127 
    0.879323     0.816456 
    0.878617     0.822785 
    0.883557      0.78481 
    0.882851     0.803797 
    0.887791     0.822785 
     0.89132     0.778481 
    0.870148     0.822785 
    0.894848     0.797468 
    0.880734      0.78481 
    0.894848     0.797468 
    0.884263      0.78481 
    0.893437     0.791139 
     0.89132     0.803797 
      0.8765     0.810127 
    0.882145     0.822785 
    0.885674     0.803797 
    0.873677     0.816456 
    0.904023     0.810127 
    0.897671     0.841772 
    0.889908     0.810127 
    0.883557     0.816456 
    0.900494     0.835443 
    0.896965      0.85443 
    0.899788     0.841772 
    0.896965     0.822785 
      0.9012     0.835443 
    0.887085     0.810127 
    0.890614     0.848101 
    0.892731     0.803797 
    0.898377     0.816456 
    0.907551     0.835443 
    0.903317     0.765823 
    0.908257     0.816456 
    0.899083     0.829114 
    0.882851     0.841772 
    0.909668     0.816456 
    0.904023     0.879747 
    0.902611     0.835443 
    0.899083     0.803797 
    0.902611      0.85443 
    0.904728     0.822785 
      0.9012     0.829114 
    0.916725     0.835443 
    0.914608     0.873418 
    0.908963     0.848101 
    0.908963     0.873418 
     0.90614     0.848101 
    0.890614     0.860759 
    0.900494     0.841772 
     0.91108     0.810127 
     0.91602     0.848101 
    0.903317     0.873418 
     0.91108     0.810127 
    0.901905     0.848101 
    0.908257     0.860759 
    0.920254     0.848101 
    0.910374     0.848101 
    0.908963     0.860759 
    0.910374     0.810127 
    0.913903     0.848101 
    0.899083     0.841772 
    0.913903     0.848101 
     0.91108     0.860759 
    0.908963     0.879747 
    0.906845     0.829114 
    0.923077      0.85443 
    0.912491     0.860759 
    0.908257     0.873418 
     0.92096     0.835443 
    0.921665     0.873418 
    0.913197     0.841772 
    0.920254     0.835443 
    0.904728     0.860759 
    0.909668     0.873418 
    0.924488      0.85443 
    0.929428     0.841772 
     0.92096     0.829114 
    0.917431     0.860759 
    0.932251     0.841772 
