#      Train        Test
      14.413       14.079 
     12.2909      13.2695 
     11.9445      12.4839 
     11.0426       11.628 
     10.6457       11.005 
     10.4384      11.4386 
     10.1756      10.7028 
     9.95891      11.3057 
     9.54101      9.63955 
     8.42974      9.16973 
     8.80443      9.46945 
     8.44181      9.54492 
      8.3052      8.87404 
     8.23449      8.95032 
     7.90979      9.16398 
     7.82899      8.33576 
     7.45847      8.62671 
     7.54312      8.05408 
     7.41663      8.45555 
     7.08249       7.3617 
     6.74459      8.09598 
     6.53787      8.53494 
     6.46998      7.67623 
     6.50871      7.02912 
     6.16545      6.65674 
     6.13294      6.88693 
      5.8464      6.98118 
     5.84636      7.17742 
     5.82183       6.8471 
     5.76932      6.18927 
     5.55765      6.15719 
     5.61078      5.87895 
     5.43856      6.18729 
     5.39675      5.93456 
     5.38824      6.31553 
      5.4089         6.38 
     5.35062      6.06539 
     5.13953      6.68002 
     5.15979      6.00975 
     5.16378      5.79725 
     4.98402      5.50377 
      4.9527      5.55046 
     4.81887      5.70248 
     4.77303      6.04753 
     4.75639      5.47937 
     4.70938      5.83093 
     4.72395      5.67573 
     4.65147      5.32369 
     4.77965      5.31222 
     4.65502      5.34756 
     4.27982      5.67237 
     4.26841      5.08205 
     4.30918      5.41595 
     4.32444      5.12517 
     4.26932      4.62092 
     4.45125      5.87386 
      4.4003      5.22421 
     4.23893       4.9865 
     3.95362       4.7204 
     3.94902      4.71565 
     4.02302      5.06338 
     3.92283      4.93166 
     4.04155      4.89969 
     3.98425      5.04195 
     3.90784      4.55329 
     3.97982      4.85251 
     3.83906      4.53092 
     3.95786       4.4896 
      3.8028       4.6779 
     3.65878      4.66757 
     3.65243      4.45295 
     3.56922      4.76992 
     3.71496      4.71777 
     3.47746      4.47095 
     3.46862      4.70645 
     3.64722      4.70266 
     3.54579      4.14075 
     3.62338      4.69738 
     3.47036      4.71326 
     3.61466      4.28114 
      3.5313      4.67015 
     3.49111      4.77258 
     3.59217       4.8407 
