#      Train        Test
     0.16302     0.177215 
    0.234298     0.259494 
    0.290049     0.253165 
    0.325335     0.316456 
     0.35921     0.329114 
    0.410021     0.411392 
    0.405081     0.411392 
    0.406493     0.367089 
    0.429076     0.417722 
    0.426958      0.43038 
    0.450953     0.398734 
     0.44319     0.405063 
    0.459421     0.398734 
     0.45801     0.367089 
    0.470713     0.424051 
    0.470713     0.379747 
    0.470713     0.398734 
    0.446013      0.43038 
    0.478476     0.455696 
    0.465773     0.443038 
     0.46789     0.398734 
    0.436133     0.411392 
    0.475653     0.379747 
    0.476359     0.474684 
    0.474947     0.443038 
    0.472124     0.455696 
    0.482004     0.468354 
     0.48271     0.455696 
    0.485533     0.424051 
    0.479181     0.436709 
    0.479181     0.436709 
    0.479181     0.455696 
    0.486239     0.417722 
    0.496119     0.487342 
    0.501764     0.424051 
    0.505293     0.449367 
    0.510233     0.468354 
    0.498236     0.531646 
    0.488356     0.487342 
    0.508116     0.474684 
    0.508116     0.468354 
    0.508116     0.436709 
    0.501764     0.474684 
    0.498236     0.481013 
    0.483416     0.417722 
    0.489061     0.417722 
    0.479181     0.506329 
    0.484121     0.436709 
    0.491884     0.386076 
    0.503176     0.424051 
    0.486239      0.43038 
    0.506704     0.493671 
    0.503176     0.449367 
    0.510233     0.455696 
    0.525759     0.493671 
    0.501059     0.449367 
    0.506704      0.43038 
    0.516584     0.462025 
    0.490473     0.455696 
    0.526464      0.43038 
    0.511644     0.417722 
    0.515879     0.525316 
    0.532816     0.518987 
    0.515173     0.537975 
    0.518701     0.462025 
    0.513761     0.525316 
     0.50247     0.468354 
    0.505293     0.411392 
    0.510939     0.411392 
    0.523641     0.474684 
    0.511644     0.493671 
    0.515173     0.386076 
    0.509527     0.493671 
    0.515879     0.512658 
    0.505999     0.531646 
    0.522936      0.43038 
    0.536344     0.449367 
    0.534933     0.512658 
    0.539873     0.455696 
    0.520113     0.398734 
    0.526464     0.424051 
    0.523641     0.563291 
     0.51235     0.424051 
    0.520113     0.392405 
    0.528582     0.455696 
     0.54199     0.550633 
     0.51729     0.493671 
    0.510233     0.518987 
    0.545519     0.506329 
    0.510233     0.455696 
    0.532816     0.518987 
    0.539167     0.474684 
    0.538462     0.512658 
    0.530699     0.487342 
    0.540579     0.550633 
     0.51729     0.525316 
     0.50741     0.443038 
    0.525053     0.544304 
    0.528582     0.462025 
    0.540579          0.5 
    0.539167     0.481013 
    0.544813     0.474684 
     0.55187     0.436709 
    0.554693     0.481013 
    0.535639     0.506329 
    0.531404     0.556962 
    0.526464     0.544304 
    0.549753     0.493671 
    0.535639          0.5 
    0.549753     0.544304 
    0.533522     0.506329 
     0.53211     0.550633 
    0.550459     0.449367 
    0.530699     0.525316 
    0.547636     0.550633 
    0.540579     0.443038 
    0.551164     0.481013 
    0.552576     0.575949 
     0.56669     0.512658 
    0.558222     0.468354 
    0.550459     0.474684 
    0.537756     0.474684 
    0.552576     0.436709 
    0.547636     0.506329 
    0.540579     0.537975 
    0.554693     0.506329 
     0.54199          0.5 
    0.533522     0.544304 
    0.568102     0.468354 
    0.544813     0.481013 
     0.53211      0.43038 
    0.539167          0.5 
    0.573747     0.487342 
     0.54693     0.462025 
    0.545519     0.487342 
    0.560339     0.436709 
     0.54199     0.525316 
    0.558927     0.512658 
    0.544813     0.550633 
    0.552576     0.481013 
    0.565984     0.531646 
    0.555399     0.556962 
    0.558222     0.512658 
    0.558927     0.487342 
    0.554693     0.424051 
    0.559633     0.525316 
