#      Train        Test
     30.1421       12.782 
     10.9321      10.6808 
     9.97018      11.2394 
     9.42058      9.67619 
     8.82823      9.69604 
     8.35852      8.57635 
     8.44097      9.03276 
     8.20731      8.19461 
     7.87319      8.14653 
     7.91897      7.93147 
     7.72155      8.27642 
     7.88174      8.59491 
     7.85234       8.4271 
     7.68746      8.96001 
     7.65672       8.4057 
      7.6322      8.65031 
     7.59166      7.87441 
     7.71344      8.20185 
     7.49835      7.67011 
     7.58412      7.92545 
     7.50774        8.214 
     7.71906      8.60563 
     7.49183       8.2854 
     7.36201      8.03055 
     7.38413      8.15164 
     7.45296      7.84912 
      7.3173      7.79367 
     7.29847      8.50787 
     7.27475      8.15391 
      7.3809      7.59609 
      7.2911      8.61204 
      7.2889      7.43797 
     7.19459      7.60184 
       7.146      7.24617 
     7.11107      7.83796 
     7.16471      7.79461 
     7.13751      7.62329 
     7.05361      7.42735 
     7.30783      7.39674 
     7.00961      7.99137 
     7.01489      7.79007 
     7.02606      7.85676 
     7.01461       7.8406 
     7.08267      7.31476 
     7.11972      8.20166 
     7.15338      8.08355 
     7.15639      7.51006 
     7.29182      8.31126 
     7.21015      8.42531 
      7.1276      7.78748 
     7.24729      8.14935 
     6.94474      7.28916 
     7.01248      7.80576 
     6.88374      7.45407 
     6.84621      7.52673 
     7.00229      7.94557 
     7.02925      7.73501 
     6.88009      7.67109 
     7.11719      7.42019 
     6.84604      8.21999 
      7.0418      7.78495 
     6.87908      6.97498 
     6.79351      6.95894 
     6.79305      6.88041 
     6.91059      7.60347 
     6.81577      6.91791 
     6.99081      7.18942 
     7.04549      7.71899 
     6.86218      7.62663 
     6.81921      7.13209 
     6.83406      7.51454 
     6.99416      8.46336 
     7.08129      7.30441 
     6.82164      7.19125 
     6.81915      7.18901 
     6.81767      7.65235 
     6.73759      7.21977 
      6.6469      7.37035 
     6.74158      7.28607 
     6.66947      8.25445 
     6.79598      7.86885 
     6.77793      6.75431 
      6.8262       7.8086 
     6.72564      7.91655 
     6.79938      7.38646 
     6.53836      7.27822 
     6.77655      7.38162 
     6.94813      7.40482 
     6.66459      7.33544 
      6.8816      8.08789 
     6.67142      7.34507 
     6.58542      7.41512 
     6.62971      7.16409 
     6.69316      6.97041 
     6.75633      6.99144 
     6.79697      7.48367 
     6.88547      7.59359 
     6.64646      6.88757 
     6.67359      7.40614 
     6.54722      7.54412 
     6.60767      7.24438 
     6.54592       7.2903 
     6.53033      7.10971 
     6.44662      7.51319 
     6.61137      7.36158 
     6.65396       7.4543 
     6.81238      7.08068 
      6.6047      7.82937 
     6.60477      7.39015 
     6.53031      6.84172 
     6.58184      7.29952 
      6.5737      7.09166 
     6.51895      7.46095 
     6.61033      6.83052 
     6.59588      7.01561 
     6.53861      7.55067 
     6.53539      7.21355 
     6.52863      7.00453 
     6.51487      6.78848 
     6.39573      7.54724 
     6.41048      7.63835 
      6.6058      7.08843 
     6.51929      7.13643 
     6.57099      6.81195 
     6.55645      7.02552 
     6.64328      7.27873 
     6.60711      6.90914 
     6.52454       6.6069 
     6.46693      7.73718 
     6.53939      7.22788 
     6.53922      7.41997 
     6.59535      7.20614 
     6.38644      7.68435 
     6.49431      7.41805 
     6.58644      7.26326 
     6.33107      7.86225 
      6.5249      6.99374 
     6.47273      6.97105 
     6.62056      6.82059 
     6.54845      7.16396 
     6.30435      7.00668 
     6.35466      6.95525 
     6.36144      7.10158 
     6.39288       7.4448 
     6.55597      7.13489 
     6.44256      6.79025 
     6.41259      7.56236 
      6.3896      7.17246 
     6.34496       7.0862 
     6.37438      6.95982 
     6.42894      7.36867 
     6.33639      7.30751 
     6.24652      7.53588 
     6.46272      6.83011 
      6.3672       7.2421 
     6.31046      7.10766 
     6.32179      7.46889 
     6.39912      6.81114 
     6.40267      7.20234 
     6.37436      7.16181 
     6.38383      7.11576 
      6.3048      6.70768 
     6.32543      7.26581 
       6.297      6.82349 
     6.20491      6.91514 
     6.26589      7.50385 
     6.37981      6.86734 
     6.32405      6.84376 
     6.29135      6.51801 
     6.32658      6.92889 
     6.20934      7.05528 
     6.28899       6.9049 
       6.277      6.49421 
     6.19687      6.51127 
      6.2745      6.94442 
     6.45407      7.07912 
     6.38655      6.99984 
     6.32997      7.80008 
     6.19259      6.86864 
     6.29209      6.80026 
     6.25907      7.37316 
     6.30114      6.92594 
     6.30419      6.85431 
     6.23908      6.83003 
     6.36287      6.52996 
     6.21128      7.06905 
     6.23542      6.79642 
     6.35466      6.74098 
     6.21113      6.83234 
     6.36779      6.76715 
     6.22183      6.79182 
     6.28841      7.45816 
     6.21821      6.70359 
     6.32528       6.1633 
     6.40582      7.00918 
     6.30336      7.67074 
     6.29894      6.82874 
     6.44374      6.98186 
     6.29749      6.74942 
     6.28247      7.67966 
     6.27327       7.4921 
     6.21633      6.63236 
     6.28841      7.12897 
     6.28612      7.06805 
     6.24317       6.9658 
     6.16209      6.78392 
     6.19488      7.00217 
     6.20317      6.51114 
     6.16727      6.76337 
     6.15148      6.85151 
     6.11229      6.74696 
      6.2059      7.12422 
     6.18073      6.96844 
     6.20868      7.05992 
     6.29418      6.66189 
     6.29404      7.35189 
     6.22898      7.24189 
      6.2343      7.08905 
     6.37673      7.24773 
     6.28747      7.02531 
     6.15893      7.85301 
      6.2696      7.01389 
     6.14696      6.86364 
     6.16772      6.49938 
     6.17831      6.61305 
     6.12635      6.53296 
     6.20167      7.43102 
      6.0942      7.36745 
     6.16258      6.47433 
     6.23364      6.76491 
     6.11676      6.36184 
     6.19654      6.66245 
     6.19702      6.84513 
     6.15428      7.22064 
     6.20048      6.82207 
     6.09623      6.70257 
     6.32803      6.89643 
     6.19501       6.5216 
     6.21983      6.51078 
     6.35007      6.31203 
     6.19538      7.00552 
     6.12935      6.51185 
     6.07343      7.21554 
     6.22413      6.77552 
     6.13587      6.94667 
     6.07816      7.43042 
     6.04492       6.7296 
     6.09359      6.27633 
     6.19753      6.85329 
     6.11852      6.88517 
     6.20896      6.99967 
     6.12903      6.78238 
     6.22789       7.0702 
     6.11754      6.68611 
     6.10939      6.61283 
     6.04454      7.35433 
     6.06057      7.03382 
     6.11481      6.88674 
     6.11925      6.60954 
     6.26739      7.09286 
     6.05841      6.87689 
     6.16642      6.94954 
     6.19001      6.99389 
     6.06164      6.89583 
     6.13577       6.6064 
     6.09879      6.99126 
     5.99441      6.85587 
     5.92777      6.73764 
     6.12001      6.57007 
     6.07855      6.57988 
     6.03199      6.87272 
     6.03243      7.10283 
     6.02729      7.04408 
     6.02872      6.77335 
     6.13922      6.75227 
     5.95537       6.6352 
     6.05877       6.5626 
     6.06731      6.88745 
     6.12881       6.6158 
       6.058      6.70909 
     5.94905      6.66081 
     6.05787      7.00476 
     6.03177      6.64027 
     6.01143      6.53541 
     5.89918       6.6309 
      5.9999      7.17383 
     5.99973      6.58812 
     5.90644      6.82148 
     5.93021      6.29268 
     5.98268      7.15275 
     5.86203      6.58122 
     6.06597      6.49821 
     5.97511      6.55218 
     6.03965      6.98692 
     6.05004      6.66544 
     5.94095      6.51954 
     5.91918      7.01467 
     5.95762      6.55169 
     5.96476      6.54362 
     5.98087      7.10473 
      5.9398      6.87257 
      5.9641      6.58715 
     6.11632       6.8985 
      5.9069      7.06003 
     5.94368      7.06978 
     5.93934      6.80364 
     5.96367      6.97139 
     5.96183       6.9972 
     5.94983      6.61709 
      5.9588      7.00031 
     5.93941       7.1916 
     6.02419       6.6967 
     5.83931      6.65607 
     5.90177      6.88317 
     5.99286      6.48094 
     5.98358      6.75549 
     5.86601      6.70609 
     5.97521      6.80105 
      5.9798      6.89646 
     5.96407      6.58059 
     5.89205      6.18538 
     5.94629      6.64502 
     6.00298      6.60828 
     6.01491       7.5148 
