#      Train        Test
    0.266055     0.360759 
    0.316867     0.417722 
    0.342272     0.512658 
    0.391673     0.443038 
    0.368384     0.525316 
    0.400847     0.481013 
    0.434016     0.518987 
    0.421313     0.512658 
     0.45307     0.468354 
    0.444601     0.481013 
    0.442484     0.506329 
    0.444601     0.563291 
    0.454481     0.481013 
    0.441073     0.518987 
    0.460127     0.474684 
    0.468596     0.531646 
    0.485533     0.563291 
     0.47283     0.537975 
    0.465773     0.487342 
    0.459421     0.556962 
    0.483416     0.481013 
    0.484827     0.556962 
    0.495413     0.487342 
    0.494001     0.481013 
    0.491884     0.556962 
    0.482004     0.531646 
    0.484827     0.443038 
     0.47777     0.525316 
    0.499647     0.493671 
     0.47283     0.531646 
    0.495413     0.481013 
    0.484121     0.563291 
     0.46789     0.531646 
    0.494707     0.531646 
     0.49259          0.5 
    0.496824     0.474684 
     0.49259     0.487342 
     0.51235     0.575949 
    0.500353     0.594937 
    0.505999     0.607595 
    0.501764     0.588608 
    0.501764     0.563291 
    0.508116     0.582278 
    0.503881      0.56962 
    0.498941          0.5 
    0.528582     0.594937 
     0.50247     0.556962 
    0.503176     0.493671 
    0.514467     0.474684 
    0.514467     0.487342 
    0.541284     0.474684 
    0.511644     0.544304 
    0.516584     0.550633 
     0.50741     0.531646 
    0.501764     0.556962 
    0.510939     0.537975 
    0.515879     0.556962 
     0.49753     0.449367 
    0.513056     0.531646 
     0.51235     0.582278 
    0.517996     0.512658 
    0.533522     0.613924 
    0.547636     0.544304 
     0.50741     0.556962 
    0.541284     0.518987 
    0.528582     0.563291 
    0.516584     0.537975 
    0.520113     0.582278 
    0.520113     0.626582 
    0.499647     0.537975 
    0.525759     0.544304 
     0.51729     0.632911 
    0.536344     0.613924 
    0.540579     0.575949 
    0.522936     0.525316 
    0.528582     0.582278 
    0.514467     0.563291 
    0.530699     0.506329 
    0.501764     0.594937 
    0.522936      0.56962 
    0.515173     0.563291 
    0.506704     0.582278 
     0.54199     0.563291 
    0.531404     0.588608 
    0.542696     0.575949 
    0.541284     0.613924 
    0.524347     0.563291 
    0.537756     0.518987 
    0.541284     0.588608 
    0.529993      0.56962 
    0.558927     0.531646 
    0.526464     0.582278 
    0.537756     0.550633 
    0.525759     0.575949 
    0.530699     0.556962 
    0.538462     0.487342 
    0.535639     0.575949 
    0.528582     0.588608 
    0.534227     0.620253 
    0.552576     0.550633 
    0.549753     0.563291 
    0.558927     0.607595 
    0.555399     0.575949 
     0.57657     0.550633 
    0.541284     0.601266 
    0.550459      0.56962 
    0.550459     0.607595 
    0.573747     0.620253 
    0.561044     0.563291 
    0.570924     0.582278 
    0.541284     0.601266 
    0.560339     0.525316 
    0.567396     0.556962 
     0.56175      0.56962 
    0.539873     0.601266 
     0.53705     0.582278 
    0.552576     0.582278 
    0.544107     0.575949 
    0.539873     0.588608 
    0.569513     0.544304 
    0.526464     0.506329 
    0.568102     0.607595 
    0.558222     0.588608 
    0.573747     0.588608 
    0.575159     0.550633 
    0.585039     0.575949 
    0.564573     0.493671 
    0.568807          0.5 
    0.565279     0.575949 
    0.568807     0.556962 
     0.57163     0.544304 
    0.554693     0.575949 
    0.553987     0.556962 
    0.561044     0.512658 
    0.573042     0.537975 
    0.555399     0.588608 
    0.559633     0.620253 
    0.547636     0.506329 
     0.56175     0.607595 
    0.540579     0.613924 
    0.544813     0.563291 
    0.575159     0.601266 
    0.570924     0.613924 
    0.565279     0.620253 
    0.570219      0.64557 
    0.565984      0.56962 
    0.584333     0.601266 
    0.578687     0.613924 
    0.558927     0.556962 
    0.547636     0.620253 
    0.580099      0.56962 
    0.569513     0.594937 
    0.569513     0.607595 
    0.582216     0.563291 
    0.575865     0.651899 
    0.548342     0.632911 
    0.569513     0.575949 
    0.580805      0.56962 
     0.56175     0.550633 
    0.582922     0.607595 
    0.583627     0.601266 
    0.569513     0.594937 
     0.58151     0.582278 
    0.573747      0.64557 
    0.564573     0.575949 
    0.561044     0.550633 
    0.563867     0.620253 
    0.569513     0.651899 
     0.57163          0.5 
     0.57657     0.594937 
    0.580099      0.56962 
    0.577276     0.613924 
    0.570924     0.575949 
    0.564573     0.607595 
