#      Train        Test
     11.5637       8.6651 
     9.35817      8.39107 
     8.81963       7.4135 
     8.52596      7.42229 
     8.45172      7.01977 
      8.2412      7.25043 
      7.9596      6.97685 
      7.9567      6.82697 
      7.6672       7.6855 
     7.78123      7.11528 
     7.85725      7.28561 
     7.82147      6.70778 
      7.5166      6.95177 
      7.5908       6.7543 
     7.54329      7.13209 
     7.51402      6.66137 
     7.31687      6.57007 
     7.42099      6.87597 
     7.51518      6.72293 
     7.54405      6.56171 
     7.30311      7.25638 
     7.29289      6.68912 
     7.14224      6.83593 
      7.1997       6.5315 
     7.12644      6.82754 
       7.239      6.58734 
     7.13051      7.14477 
     7.26639      6.89059 
     7.13206      6.55398 
     7.30769      6.56752 
      7.1889       6.9632 
     7.15878      6.81634 
     7.14859      6.52109 
       7.141      6.23262 
      7.0313      6.98529 
     6.98251      6.83983 
      6.9295       6.7166 
     6.89821       6.3538 
     6.90793      6.31245 
     6.97602      6.29207 
     6.96228      6.29674 
     7.04253      6.28359 
     6.87774      6.26313 
     6.89571      6.16296 
     7.00111      6.77686 
     6.93353      6.46263 
     7.04134      6.33829 
     7.00335      6.82192 
     7.00404      7.31891 
     6.86576      6.66352 
     6.63422      6.66303 
     6.95109      6.38513 
     6.99725       6.3736 
     6.90683       6.5167 
     6.90544      6.31953 
     6.91586      6.54658 
      6.7959      6.54813 
     6.93961      6.85159 
     6.87577      6.19776 
     6.90276      6.50438 
     6.81624      6.50354 
     6.70171      6.25811 
     6.70362      6.27597 
     6.84855       6.3792 
     6.68208      6.70407 
     6.73269       6.4092 
     6.83151      6.53032 
     6.80017      6.23798 
     6.88272      6.07194 
     6.96801      6.15611 
     6.69028      6.61406 
     6.78409      6.08618 
     6.72102      6.01073 
     6.68531      6.22892 
     6.78081       6.3057 
     6.71141      6.17866 
     6.74696      6.32129 
     6.73069      6.85741 
     6.92045      6.29294 
     6.77078      6.27518 
      6.9026      6.26825 
     6.75965      6.13068 
     6.65129      6.06962 
     6.72977      5.94328 
     6.60304      5.99959 
     6.61704      6.37219 
     6.70294      6.01874 
     6.54243      6.27222 
     6.56335      6.29092 
      6.6588      6.15093 
     6.60315      6.39344 
     6.60723      6.20563 
     6.60904      6.07139 
     6.63173      6.03152 
     6.66236      6.06037 
     6.65637         6.73 
     6.62418      6.04836 
      6.6609      6.41659 
     6.59812      6.01084 
      6.5275      6.26439 
     6.58326      6.02149 
     6.41049      6.23761 
     6.43798      6.18599 
     6.44976      6.54992 
      6.4929      6.38515 
     6.53677      5.94564 
     6.45467      6.06874 
     6.31194      6.00377 
     6.36653      6.17342 
     6.35606      6.13245 
     6.48351      6.01152 
     6.40538      6.37963 
     6.37148      6.19874 
     6.42463      6.29747 
     6.47108      6.26289 
     6.54065      6.62632 
     6.52406      5.95026 
     6.49984      6.52526 
     6.59416      6.08722 
     6.41044       6.3012 
     6.64076      6.62114 
     6.43025      6.07851 
     6.30923      6.05686 
     6.29763      6.09606 
     6.30138      6.42965 
     6.24068      5.91975 
      6.2933      6.53782 
     6.27334      6.69999 
     6.40201      6.06607 
     6.29592      6.28042 
     6.24885      6.19174 
     6.47484        6.129 
     6.26581      5.94089 
     6.34213      6.39977 
     6.36989      6.49355 
     6.34463      6.06508 
     6.30169      5.93447 
     6.47162      6.53239 
     6.40234      5.93993 
     6.50038      6.07383 
     6.36553      5.92855 
     6.28346      6.13095 
     6.28045      6.08415 
     6.35647      6.02777 
     6.33599      6.11288 
      6.2938      6.45416 
     6.18902      5.92928 
     6.25484      5.91495 
     6.29312      6.30761 
     6.46781      5.86224 
     6.17552      6.29126 
     6.29718       6.1705 
     6.27326      5.90181 
     6.25901      6.14464 
     6.19274      5.86881 
       6.365      6.05175 
     6.40059       6.0562 
     6.35491      6.15856 
      6.2958      6.53533 
     6.15492      6.22521 
     6.21362      5.97817 
     6.22884      6.05111 
      6.2049       6.2141 
     6.29624      6.21906 
     6.27934      5.86223 
     6.29191      6.31056 
     6.23727      6.18486 
     6.16367      5.77434 
      6.2894      6.74309 
     6.17904      6.01989 
     6.25784      6.13183 
     6.14162      5.84919 
     6.27032      6.21242 
     6.29725       5.9562 
     6.20539      6.39449 
     6.31547      6.18217 
     6.26804      6.16176 
     6.32398      5.96923 
     6.30301      6.70822 
     6.32644      5.75564 
     6.26607      6.04205 
     6.16404      5.95473 
     6.32838      6.01957 
     6.18754      5.88967 
     6.28051      5.98015 
     6.10244      5.90965 
     6.23204      5.94642 
