#      Train        Test
    0.346507     0.582278 
    0.708539     0.778481 
    0.834157     0.860759 
    0.906845     0.924051 
     0.91602     0.917722 
    0.922371     0.949367 
    0.936486     0.886076 
    0.944248     0.898734 
    0.941426     0.924051 
      0.9506     0.936709 
    0.948483     0.917722 
    0.947777     0.936709 
    0.951306      0.93038 
    0.956951     0.924051 
    0.958363     0.936709 
    0.959068      0.93038 
    0.961186     0.936709 
     0.96048     0.917722 
    0.953423     0.936709 
    0.956951     0.943038 
    0.951306     0.924051 
    0.952717     0.924051 
    0.968243      0.93038 
     0.96048     0.924051 
    0.959068     0.936709 
     0.95554      0.93038 
     0.96542     0.917722 
    0.966831     0.936709 
    0.967537     0.905063 
    0.966126      0.93038 
    0.971771     0.892405 
    0.962597     0.943038 
     0.96048     0.917722 
    0.969654     0.924051 
    0.962597     0.936709 
     0.97036     0.924051 
    0.956951     0.943038 
    0.966831     0.955696 
    0.967537     0.949367 
    0.969654     0.949367 
    0.973183      0.93038 
    0.966831     0.924051 
     0.96542     0.917722 
    0.964714     0.917722 
    0.964714     0.924051 
     0.97036     0.936709 
     0.96542     0.936709 
    0.972477     0.936709 
    0.968948     0.949367 
    0.962597     0.943038 
    0.968243     0.911392 
    0.968948      0.93038 
    0.971771      0.93038 
     0.97036     0.917722 
    0.974594     0.905063 
    0.972477     0.917722 
    0.964008      0.93038 
    0.971771      0.93038 
    0.968948     0.917722 
    0.971066      0.93038 
    0.967537     0.949367 
    0.966126     0.924051 
     0.97036     0.949367 
    0.972477     0.905063 
    0.973888     0.911392 
     0.97036     0.924051 
    0.971771     0.943038 
    0.968243      0.93038 
    0.968243      0.93038 
    0.973888     0.936709 
    0.973183      0.93038 
    0.973183     0.905063 
      0.9753     0.936709 
    0.968948     0.911392 
    0.971771     0.898734 
    0.966831     0.911392 
    0.963303     0.955696 
    0.971771     0.943038 
    0.959774     0.943038 
    0.964714     0.924051 
     0.97036     0.943038 
    0.971066     0.943038 
    0.967537     0.911392 
    0.967537     0.917722 
    0.968948     0.936709 
    0.969654     0.924051 
    0.961186     0.936709 
    0.972477     0.949367 
    0.966126      0.93038 
    0.968948     0.917722 
    0.964008     0.917722 
    0.973888     0.924051 
      0.9753     0.917722 
    0.973888     0.917722 
    0.971066     0.917722 
     0.96542     0.949367 
    0.968243     0.936709 
    0.971066      0.93038 
    0.966126     0.911392 
    0.967537     0.936709 
    0.964714     0.905063 
    0.968948     0.936709 
    0.959774      0.93038 
    0.969654     0.949367 
    0.966126     0.949367 
    0.964008      0.93038 
    0.968948     0.936709 
    0.973183      0.93038 
    0.973183      0.93038 
    0.966126     0.943038 
    0.966126     0.924051 
    0.973183     0.962025 
    0.971771      0.93038 
    0.968243     0.911392 
    0.969654     0.962025 
    0.964008     0.898734 
    0.964714      0.93038 
    0.967537     0.898734 
     0.97036     0.924051 
    0.962597      0.93038 
    0.968948      0.93038 
    0.971066     0.879747 
     0.96542     0.924051 
    0.971066     0.905063 
    0.969654     0.949367 
    0.976006     0.905063 
    0.968948     0.924051 
    0.971066      0.93038 
    0.968948     0.917722 
    0.969654     0.911392 
    0.966126     0.911392 
    0.968948     0.955696 
     0.96542     0.917722 
    0.971066     0.898734 
     0.97036     0.924051 
    0.974594     0.943038 
     0.97036     0.905063 
     0.96542     0.924051 
    0.968243     0.911392 
    0.958363     0.924051 
     0.96542     0.962025 
    0.969654     0.924051 
    0.967537     0.924051 
     0.96542     0.962025 
    0.974594      0.93038 
    0.976711     0.873418 
    0.969654     0.911392 
     0.97036     0.917722 
    0.963303     0.936709 
