#      Train        Test
    0.182222          0.2 
    0.204444     0.186667 
    0.202963         0.24 
    0.176296          0.2 
    0.216296     0.213333 
    0.207407     0.253333 
    0.208889          0.2 
    0.211852     0.253333 
    0.222222     0.213333 
     0.25037         0.24 
    0.213333     0.213333 
    0.274074         0.24 
    0.234074     0.213333 
    0.228148     0.306667 
    0.256296     0.293333 
        0.24     0.293333 
    0.234074         0.24 
    0.293333     0.293333 
    0.253333         0.28 
    0.262222     0.226667 
    0.275556     0.306667 
    0.293333     0.253333 
    0.244444     0.266667 
    0.277037     0.266667 
    0.288889          0.2 
    0.257778         0.32 
    0.300741     0.333333 
    0.291852     0.306667 
    0.266667     0.333333 
    0.354074     0.306667 
    0.317037         0.24 
    0.282963     0.346667 
    0.305185     0.373333 
    0.287407     0.266667 
    0.287407     0.333333 
    0.327407     0.306667 
    0.364444         0.36 
    0.345185     0.346667 
    0.340741         0.32 
    0.351111         0.32 
    0.377778         0.28 
    0.318519     0.306667 
