#      Train        Test
     17.9655      19.3307 
     16.8068      19.1454 
     16.0701      18.8512 
     15.1196       18.885 
     14.3846      18.5408 
     14.3325      18.3099 
     13.5346      17.7092 
     13.2396      16.5375 
     12.8461      16.5696 
     12.1863      16.6696 
     12.2058      16.2745 
     11.6959      15.4946 
     11.6139      14.9445 
     11.3436      14.5254 
     11.2586      13.5968 
     11.0824      13.3474 
     11.0175      13.2014 
     10.6124       14.126 
     11.0144      14.2235 
     10.8105      13.3734 
      10.588      12.8962 
     10.5012      13.8362 
     10.5727      13.8842 
     10.4014      13.8762 
     10.4186      13.6636 
     10.5748      13.4787 
     10.4835       13.452 
     10.2471       12.444 
      10.266      12.3157 
      9.8682      11.8371 
     9.94695      12.7291 
     9.82997      11.9299 
     9.85029      11.9144 
       9.692      12.7765 
      9.7355      12.4475 
     9.59476       12.544 
     9.40072      11.7264 
     9.37927      11.6596 
     9.19154      11.6569 
     9.26137      11.8308 
     9.04773      11.9566 
     9.14306      11.8028 
