#      Train        Test
    0.179259     0.266667 
    0.185185     0.173333 
    0.217778         0.24 
    0.238519     0.253333 
    0.274074     0.266667 
    0.300741     0.253333 
     0.34963         0.36 
    0.352593         0.32 
    0.382222     0.333333 
    0.411852     0.373333 
    0.423704     0.373333 
    0.411852     0.386667 
    0.454815     0.373333 
    0.437037         0.32 
    0.425185         0.28 
     0.46963     0.293333 
    0.419259          0.2 
     0.42963         0.24 
    0.457778     0.386667 
    0.462222         0.28 
    0.457778         0.28 
    0.445926     0.293333 
    0.462222     0.346667 
    0.487407     0.493333 
    0.493333     0.346667 
    0.459259     0.373333 
     0.49037          0.4 
    0.468148         0.36 
        0.48         0.32 
    0.493333     0.293333 
    0.494815     0.253333 
    0.454815         0.24 
    0.497778     0.293333 
    0.496296         0.36 
    0.496296         0.36 
    0.506667     0.413333 
    0.514074          0.4 
    0.496296     0.466667 
    0.514074     0.346667 
    0.482963     0.506667 
    0.491852          0.4 
    0.505185     0.346667 
    0.512593     0.506667 
     0.49037     0.413333 
    0.508148     0.493333 
    0.518519     0.333333 
    0.481481         0.36 
    0.481481         0.36 
    0.505185         0.44 
    0.506667     0.426667 
    0.502222         0.44 
    0.502222     0.293333 
    0.477037     0.373333 
    0.502222     0.293333 
    0.527407         0.36 
    0.488889     0.373333 
    0.524444     0.413333 
    0.487407     0.333333 
    0.493333          0.4 
     0.50963     0.413333 
    0.522963     0.346667 
    0.503704     0.413333 
    0.475556         0.44 
    0.527407     0.333333 
        0.52     0.493333 
    0.505185     0.546667 
     0.50963         0.36 
    0.493333         0.36 
    0.522963         0.44 
    0.527407     0.386667 
    0.517037         0.32 
    0.528889          0.4 
    0.493333     0.373333 
    0.508148     0.426667 
    0.518519          0.4 
    0.481481     0.373333 
    0.531852     0.373333 
    0.533333     0.413333 
    0.522963     0.333333 
    0.499259         0.32 
    0.524444     0.466667 
    0.518519     0.413333 
    0.525926     0.346667 
    0.518519     0.386667 
        0.52     0.293333 
    0.493333     0.453333 
    0.503704     0.466667 
    0.531852     0.373333 
    0.521481     0.306667 
    0.522963         0.48 
    0.524444          0.4 
    0.494815     0.333333 
    0.514074     0.466667 
    0.551111     0.493333 
     0.53037         0.32 
    0.524444     0.426667 
     0.53037     0.306667 
    0.536296     0.373333 
    0.515556     0.386667 
     0.50963         0.36 
    0.514074          0.4 
     0.53037     0.533333 
    0.545185     0.386667 
    0.537778     0.453333 
     0.53037         0.44 
    0.522963     0.373333 
    0.554074     0.373333 
     0.53037     0.506667 
     0.53037     0.346667 
    0.528889         0.32 
    0.573333     0.373333 
        0.56     0.413333 
    0.500741     0.373333 
    0.524444     0.293333 
    0.525926     0.293333 
    0.527407     0.373333 
     0.54963     0.426667 
    0.554074     0.453333 
    0.562963     0.333333 
    0.536296     0.306667 
    0.555556     0.493333 
     0.54963          0.4 
    0.546667     0.306667 
    0.536296     0.466667 
     0.53037     0.346667 
    0.534815     0.453333 
    0.515556     0.466667 
    0.525926     0.386667 
    0.546667     0.426667 
    0.546667     0.373333 
    0.583704     0.306667 
    0.540741     0.346667 
     0.53037     0.466667 
    0.552593     0.333333 
    0.562963     0.426667 
    0.536296     0.453333 
    0.533333         0.44 
    0.555556     0.346667 
    0.542222         0.44 
    0.514074     0.333333 
    0.546667     0.293333 
    0.521481         0.36 
    0.543704     0.426667 
    0.525926     0.333333 
    0.551111     0.346667 
    0.561481     0.293333 
    0.548148     0.413333 
    0.517037     0.346667 
     0.57037     0.386667 
    0.536296     0.453333 
    0.571852         0.44 
    0.557037     0.293333 
    0.540741     0.386667 
         0.6     0.346667 
    0.567407     0.453333 
    0.514074     0.346667 
    0.583704         0.36 
    0.534815     0.386667 
    0.567407         0.36 
    0.542222     0.386667 
    0.546667         0.44 
    0.534815          0.4 
    0.573333     0.373333 
    0.555556     0.386667 
    0.565926     0.346667 
    0.568889     0.386667 
    0.576296     0.346667 
    0.543704         0.32 
     0.61037         0.28 
    0.554074         0.52 
     0.57037     0.373333 
    0.585185     0.493333 
     0.57037     0.373333 
    0.539259         0.48 
        0.56     0.373333 
     0.57037     0.466667 
    0.579259     0.346667 
    0.597037     0.413333 
    0.543704     0.426667 
    0.565926          0.4 
    0.565926         0.36 
     0.54963     0.386667 
    0.580741     0.453333 
     0.54963         0.32 
     0.57037     0.333333 
    0.555556     0.333333 
    0.546667     0.373333 
    0.571852     0.413333 
    0.598519     0.373333 
        0.56         0.48 
    0.548148         0.44 
    0.577778     0.453333 
    0.576296     0.373333 
    0.558519     0.386667 
    0.579259         0.44 
    0.577778     0.386667 
    0.555556     0.373333 
     0.57037          0.4 
     0.57037     0.453333 
    0.576296         0.36 
    0.555556         0.48 
     0.57037     0.373333 
    0.597037         0.36 
    0.607407          0.4 
    0.598519     0.266667 
    0.594074         0.32 
    0.583704         0.48 
    0.567407     0.386667 
    0.579259     0.453333 
    0.586667     0.493333 
    0.594074     0.466667 
    0.577778     0.346667 
    0.561481     0.546667 
    0.567407         0.36 
    0.567407     0.466667 
    0.564444     0.413333 
    0.555556          0.4 
    0.580741     0.426667 
    0.576296     0.466667 
    0.586667     0.453333 
    0.576296     0.386667 
        0.56     0.453333 
    0.586667     0.333333 
    0.573333     0.373333 
    0.561481     0.426667 
    0.583704     0.413333 
    0.583704          0.4 
    0.576296         0.32 
    0.594074          0.4 
    0.568889         0.44 
    0.571852     0.426667 
    0.588148     0.466667 
        0.56     0.426667 
    0.598519         0.48 
    0.595556         0.44 
    0.604444     0.453333 
    0.594074     0.346667 
    0.565926     0.426667 
    0.574815     0.413333 
     0.57037         0.44 
    0.571852     0.333333 
    0.602963         0.48 
    0.582222         0.36 
    0.573333     0.413333 
    0.592593     0.466667 
    0.595556     0.426667 
    0.577778         0.52 
    0.571852     0.426667 
    0.546667     0.493333 
    0.580741     0.306667 
    0.585185         0.32 
    0.573333         0.44 
    0.597037     0.346667 
    0.571852         0.44 
    0.577778         0.36 
    0.602963         0.36 
    0.583704         0.36 
    0.568889     0.333333 
    0.583704     0.493333 
    0.564444     0.346667 
    0.577778          0.4 
    0.622222     0.453333 
    0.586667         0.36 
    0.558519     0.453333 
     0.57037     0.373333 
    0.577778     0.346667 
    0.582222     0.373333 
    0.562963     0.293333 
    0.579259     0.533333 
    0.565926     0.426667 
    0.583704     0.333333 
    0.592593     0.346667 
    0.554074     0.333333 
    0.601481     0.373333 
    0.583704     0.426667 
    0.588148     0.386667 
    0.574815     0.373333 
    0.562963     0.386667 
    0.571852     0.333333 
    0.601481     0.426667 
    0.561481          0.4 
     0.58963     0.346667 
    0.577778     0.413333 
     0.57037     0.373333 
    0.580741     0.413333 
        0.56     0.426667 
    0.586667     0.373333 
    0.580741     0.373333 
    0.579259          0.4 
    0.580741     0.386667 
    0.564444     0.426667 
     0.57037     0.466667 
    0.576296     0.306667 
    0.617778     0.333333 
    0.614815     0.373333 
    0.622222     0.333333 
    0.594074     0.466667 
    0.592593          0.4 
    0.557037         0.36 
    0.591111     0.346667 
    0.585185     0.333333 
    0.583704         0.52 
    0.577778     0.493333 
    0.605926         0.36 
    0.573333     0.413333 
    0.580741          0.4 
    0.594074     0.386667 
    0.592593         0.36 
    0.616296     0.373333 
    0.591111     0.373333 
    0.598519         0.48 
    0.571852     0.386667 
    0.586667     0.413333 
    0.592593          0.4 
    0.574815     0.386667 
         0.6     0.386667 
    0.607407         0.36 
    0.585185          0.4 
    0.588148          0.4 
    0.576296         0.44 
    0.616296     0.426667 
    0.585185     0.426667 
    0.601481     0.466667 
    0.614815     0.413333 
    0.607407         0.48 
    0.598519         0.36 
    0.582222     0.426667 
    0.588148     0.466667 
    0.614815     0.373333 
    0.567407         0.32 
    0.585185     0.386667 
    0.619259     0.346667 
    0.562963     0.373333 
    0.552593         0.44 
    0.598519         0.44 
    0.608889         0.44 
    0.561481     0.386667 
    0.594074     0.346667 
    0.582222     0.426667 
    0.601481     0.453333 
     0.58963         0.44 
    0.561481     0.426667 
         0.6     0.413333 
    0.607407     0.426667 
    0.597037     0.493333 
    0.625185     0.426667 
    0.576296     0.373333 
    0.585185         0.36 
    0.595556     0.346667 
    0.591111     0.373333 
    0.595556     0.373333 
    0.576296     0.386667 
    0.567407         0.44 
    0.605926     0.413333 
    0.591111     0.506667 
    0.617778     0.386667 
    0.591111          0.4 
    0.592593     0.346667 
    0.597037         0.28 
    0.598519         0.36 
         0.6     0.346667 
     0.62963     0.453333 
    0.592593     0.413333 
    0.583704     0.426667 
    0.592593     0.413333 
    0.625185     0.386667 
     0.58963     0.306667 
    0.604444     0.373333 
    0.586667          0.4 
    0.583704         0.44 
    0.586667     0.373333 
     0.58963     0.293333 
    0.571852         0.44 
    0.591111     0.413333 
    0.583704     0.426667 
    0.613333         0.44 
    0.592593     0.373333 
    0.625185     0.346667 
    0.565926     0.413333 
    0.607407     0.333333 
    0.594074     0.453333 
    0.597037     0.426667 
    0.619259     0.306667 
    0.608889     0.413333 
