#      Train        Test
     21.2279      13.7473 
     14.3297      12.2323 
     12.1032      10.1292 
     11.2717      10.2681 
      10.728      10.1918 
     10.1044      9.89684 
     9.36313       8.2806 
     9.09168      9.24344 
      8.6365      9.08627 
     8.29321      9.28982 
     8.46052      9.05093 
     8.25408      8.98076 
     7.82171      8.49764 
     7.99019      9.40082 
     8.00054      10.1169 
     7.75336      9.20956 
     7.80009      13.2738 
      8.1129      10.5826 
     7.93154      8.43131 
     7.73455      9.51071 
     7.70813      9.23184 
     7.94567      9.37211 
     7.90211      9.11198 
     7.42941      7.84884 
     7.50403      8.34982 
     7.42166      8.65956 
     7.41433       8.6032 
     7.46131      8.01744 
     7.48651      9.10464 
      7.5295      8.73933 
     7.52022      10.4136 
      7.5118       9.8166 
     7.43099      9.59656 
     7.37251      8.93887 
     7.21268      8.31918 
     7.34473      8.16771 
     7.08964      8.86798 
     7.28965       7.8054 
     7.16338      8.81982 
     7.24606      7.75616 
      7.2679      8.04162 
     7.21636      8.41967 
     7.05453      7.43267 
     7.26882      8.51364 
     7.20758      7.35878 
     7.35529      8.30369 
     7.44103      8.46349 
     7.35025      8.24331 
     7.36487      8.67113 
     7.22518      7.67676 
     6.93813      7.57418 
     7.26622      10.2566 
     7.45305        8.062 
      7.1527      9.85911 
     7.03022       7.8844 
     7.37832      8.97702 
     6.97312       7.4888 
      7.3175      8.86493 
     7.16452      8.14702 
     7.14298      8.27589 
     7.14001      9.83053 
      7.4658      8.74511 
     7.38643      7.50664 
     7.03162      9.48573 
     7.06463      7.90471 
     6.93386      7.44351 
     6.96677      8.17942 
     7.24215      8.08547 
      6.9436      8.37762 
     7.21538      9.17618 
     7.17012      9.16282 
     7.18065      8.72467 
     7.36702      8.23553 
     7.11929      7.74924 
     7.18528      8.07236 
     7.41063      8.63269 
     6.88984      9.04891 
     6.87724      8.15367 
     6.98507      9.02287 
     6.99398      8.70891 
     6.99427      7.82349 
     7.08475      9.44953 
      6.9447       8.0916 
     7.17945       9.0462 
     7.01966      9.94511 
      7.1075      7.95489 
     7.34426       7.8982 
     7.00617      8.12571 
     6.97262        10.69 
     7.18229      7.95762 
     7.00088      9.12453 
     7.14789      9.90938 
     7.15162      8.04056 
     6.91358      7.81907 
     6.90705      9.34636 
     6.80145      8.64404 
     7.11177      8.73773 
     6.94844      8.54936 
      6.9777      8.33502 
     7.10867      8.24478 
     7.05352      8.35391 
     7.14961      6.93453 
     6.70165      9.14082 
     6.69227      8.18542 
     6.77676      8.24418 
        6.87       8.8534 
     6.78107      8.41167 
     6.91522      8.20718 
     6.78014      9.08242 
     6.79452       9.4016 
     6.55406      8.61573 
     6.58073      9.54758 
     6.96844      8.93318 
     6.92521      9.95931 
     6.78067      9.89176 
     6.89753      8.61636 
     6.82112      7.75971 
     6.70559      7.28678 
     6.73821      9.16949 
     6.74906      8.58371 
     6.67027      7.46542 
     6.61116      8.23782 
     6.57128      9.74693 
     6.59803      7.60358 
     6.86475      8.35476 
      6.8232      8.49393 
     6.94958      8.31322 
     6.90365      8.50913 
     6.73479        8.044 
     6.88402      8.63156 
       6.544      9.74451 
     6.67907       9.1636 
     6.73048      8.18211 
     6.62807      9.20522 
     6.59759      8.51916 
     6.65999        7.589 
      6.8108      8.04209 
     6.50466        8.985 
     6.63625      8.20569 
     6.91288      8.98176 
     6.68054      9.38396 
     6.88429      8.33787 
     6.66711      8.15347 
     6.74663      8.96596 
     6.51592      10.4072 
      6.6472      9.35124 
     6.73396      8.48229 
     6.62402      9.77136 
     6.43753      8.47227 
      6.6827      8.09398 
     6.39109      7.78493 
     6.48458      8.67838 
     6.54855      8.54398 
     6.26849      8.95658 
     6.50364      8.37044 
     6.78828      8.95187 
     6.27841      9.06538 
     6.59415      8.19538 
     6.49104      8.39084 
     6.77193       8.0834 
     6.78722      8.60691 
     6.76671      8.64751 
     6.39647      9.23762 
     6.54269      9.29091 
     6.36553      8.46647 
     6.35549      8.30827 
     6.39339      8.65622 
     6.48995      8.57227 
     6.25225      10.0456 
     6.38975      7.78231 
     6.36197      9.20162 
     6.39476        7.888 
     6.39761      8.01349 
     6.51899        7.723 
     6.40181      8.92053 
     6.29517      7.56244 
     6.32645      8.57907 
     6.32525      8.01736 
       6.601      8.05556 
     6.19229       8.2084 
     6.32126      9.09307 
     6.46456      8.95556 
     6.33826      8.44344 
     6.46802      9.88029 
     6.36005      8.69127 
     6.52223      9.94593 
     6.45056      7.94669 
     6.31606       8.3916 
     6.14796      8.77176 
     6.39403       7.4646 
     6.59462      7.76082 
     6.19429      8.09156 
     6.18851      9.68587 
     6.37144      8.32193 
      6.3311      8.27118 
     6.31613      9.11891 
     6.42401      8.83293 
     6.22489      8.49353 
     6.47325      8.16407 
     6.26738      8.08327 
     6.48109      7.86436 
     6.34122      8.33551 
     6.23029      8.91073 
     6.04589      8.54758 
     6.18588      9.37238 
     6.14111      9.41762 
     6.26043      8.06784 
     6.25123       9.6382 
     6.31029      7.81027 
     6.13627      7.60671 
     6.15914      8.45213 
     6.26024       8.6844 
     6.25274        7.227 
     6.30732      8.76269 
     6.24314      8.65789 
     6.25088      7.76118 
     6.31778      7.98313 
     6.27539      7.98893 
     6.22585      8.08378 
      6.2908      7.81411 
     6.31053      8.13331 
      6.5434      7.43442 
     6.22993      8.72536 
     6.39483      9.19858 
     6.22363      7.09209 
     6.07057      8.68493 
     6.04254      8.41991 
     6.07176      8.52173 
     6.15578      7.86898 
     6.20596      8.05104 
      6.3948      8.74891 
     6.14195      7.51231 
     6.24673      8.03169 
     6.11356      8.23647 
     6.06447      7.97756 
      6.0886      7.86018 
     6.13988       9.3304 
      6.1266      8.23476 
     6.09855      9.07771 
     6.17324      8.07727 
     6.32981      9.51913 
     5.90594      7.64724 
     6.16545      8.66276 
     6.23392      7.74038 
     6.16479      7.42918 
     5.98362      8.24211 
     6.15277      7.46731 
      6.2937      8.37436 
     6.34271      8.18158 
     6.10232       10.042 
     5.96514      9.67416 
     6.21018      8.04691 
     6.02164      8.83116 
     6.40199      7.95709 
      6.2936      8.57533 
     6.03729      8.52573 
     6.09734      8.50642 
     6.32882      9.33907 
     6.12819      7.80547 
     6.36063      8.78931 
     6.21792      8.39587 
     5.95056      7.43609 
     6.15225      9.09016 
     6.34363      7.91493 
     6.28414      8.69233 
     6.32676      9.19507 
     6.22189      7.62133 
     6.32476      10.5081 
     6.42902      7.19849 
     6.44899      7.48944 
     6.19157      8.88287 
     6.30138      9.07742 
     6.37702      9.96131 
     6.29644      9.04869 
     6.30833      8.27736 
      6.2739      7.80373 
     6.18274      9.47296 
     6.38099       8.3634 
      6.3629      8.72113 
     5.96049       8.2218 
     6.20223      8.47847 
     5.96491      9.75091 
      6.1778      9.26022 
      6.3552      9.34316 
     6.12262      7.38318 
     6.42796      8.43093 
     6.02763      8.65262 
      6.0338      8.94331 
     6.24482        8.248 
     5.95671      7.92307 
     6.39258      7.79273 
      6.2482      8.00673 
      6.1585      9.10138 
     5.84344      9.27304 
     5.91714       8.6148 
     5.81043      9.10278 
     6.03989      7.69602 
     6.10421      9.49978 
     6.34095      8.89696 
     6.20746      8.33107 
     6.05597      8.76607 
     6.23447       7.1558 
     6.16453      7.59109 
     5.97978      8.98511 
     6.20401      8.12836 
     6.26629      8.06589 
     6.13093      8.43867 
     5.96376      8.40187 
     5.86561      8.75673 
     6.08767      8.40682 
     6.06132      7.51333 
     6.18138      7.40284 
     6.05193      8.08918 
     5.98376      8.38962 
      6.2005      8.27742 
     6.06716      8.70978 
     5.83392      7.92278 
     6.05862        7.962 
     6.00683      8.66053 
     6.19487       7.3986 
      5.9811      8.65893 
      6.1104      7.59824 
      5.9006      8.22584 
     5.87424      8.52536 
     6.16414      7.99289 
     6.01725      8.61256 
     6.03547      8.27018 
      6.0436      7.22071 
     5.79927      9.32404 
     6.17829       9.1826 
     5.99922      8.24742 
     5.77434      8.94331 
     6.45991      8.77051 
      6.4458      8.64618 
     5.97962      7.63918 
     5.94388      8.32736 
     6.30406      8.45742 
     6.21177       8.7886 
     6.14281      7.87862 
     5.93495      8.45642 
     5.99967      7.62596 
     6.17105      7.96896 
     5.98716      8.22313 
     6.03843      8.42998 
     6.10154      8.04633 
     5.80334      8.23738 
     6.06484      9.07973 
     6.18179      9.17902 
     6.01618      8.82216 
     5.83507      9.20609 
     6.12732      9.25327 
     6.07617      9.51791 
      6.2596       7.7072 
     5.93912      7.49256 
     6.04243      7.57911 
     5.78794      8.68724 
     6.00682      8.43062 
     6.11659      8.44327 
     5.99181      10.1019 
     6.11844      9.09093 
     5.93632      9.19413 
     5.76779      7.96653 
     5.90442      8.21307 
     6.00279      8.35989 
     5.98668      7.86049 
     5.88749      7.64791 
     5.84398      8.64278 
     5.90606      8.33258 
     6.01278      7.73124 
     6.24219      7.97533 
     5.93293      8.88522 
     5.91631      9.87851 
     6.19807      8.00962 
     6.02933      7.70024 
     6.11238      7.96538 
     5.91666      7.89869 
     5.97191      8.79293 
     5.87109      9.60984 
     6.02738      7.67764 
     5.96847       8.4046 
     5.82807      7.98891 
        5.98      8.30987 
      5.7412      8.27162 
     5.86607      8.87244 
